game_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,Money Line
0041700113,0,L,2,1,0.667,240,32,80,0.4,8,24,0.333,20,28,1,17,28,45,17,3,1,16,15,92,1610612749,2017,196.00
0041700113,1,W,1,2,0.333,240,45,79,0.57,16,33,0.485,10,15,1,7,30,37,28,8,12,9,27,116,1610612738,2017,-219.00
0041700103,1,W,1,2,0.333,240,47,85,0.553,10,23,0.435,18,20,1,7,32,39,29,10,8,11,21,122,1610612761,2017,-105.00
0041700103,0,L,2,1,0.667,240,37,82,0.451,12,28,0.429,17,19,1,8,26,34,20,8,4,18,19,103,1610612764,2017,-105.00
0041700163,0,L,0,3,0,240,37,80,0.463,9,31,0.29,19,25,1,11,33,44,19,10,3,24,19,102,1610612740,2017,143.00
0041700163,1,W,3,0,1,240,46,87,0.529,11,27,0.407,16,19,1,6,32,38,27,16,4,12,23,119,1610612757,2017,-158.00
0041700153,0,W,3,0,1,240,42,82,0.512,10,32,0.313,16,18,1,4,35,39,26,8,7,10,16,110,1610612759,2017,-149.00
0041700153,1,L,0,3,0,240,37,87,0.425,7,33,0.212,16,20,1,10,31,41,19,8,5,10,21,97,1610612744,2017,135.00
0041700123,0,W,2,1,0.667,240,41,81,0.506,18,34,0.529,28,37,1,6,35,41,28,10,5,10,26,128,1610612748,2017,-142.00
0041700123,1,L,1,2,0.333,240,33,73,0.452,16,33,0.485,26,35,1,5,30,35,26,7,9,15,30,108,1610612755,2017,129.00
0041700172,0,W,1,1,0.5,240,35,84,0.417,9,29,0.31,23,33,1,15,41,56,22,9,3,14,19,102,1610612760,2017,146.00
0041700172,1,L,1,1,0.5,240,36,90,0.4,11,35,0.314,12,18,1,10,36,46,22,11,4,13,25,95,1610612762,2017,-162.00
0041700142,0,L,0,2,0,240,31,80,0.388,5,18,0.278,15,21,1,9,43,52,15,7,7,16,16,82,1610612745,2017,594.00
0041700142,1,W,2,0,1,240,35,96,0.365,16,52,0.308,16,21,1,12,42,54,22,8,9,9,17,102,1610612750,2017,-735.00
0041700132,1,W,1,1,0.5,240,37,73,0.507,11,28,0.393,15,22,1,6,24,30,15,8,2,15,19,100,1610612754,2017,-407.00
0041700132,0,L,1,1,0.5,240,41,78,0.526,6,22,0.273,9,12,1,5,31,36,22,8,3,17,23,97,1610612739,2017,351.00
0041700162,1,L,0,2,0,240,41,91,0.451,12,32,0.375,8,10,1,13,32,45,20,5,4,16,20,102,1610612740,2017,-283.00
0041700162,0,W,2,0,1,240,43,84,0.512,12,24,0.5,13,19,1,10,33,43,25,4,4,14,17,111,1610612757,2017,250.00
0041700112,1,W,2,0,1,240,48,90,0.533,13,31,0.419,11,18,1,9,29,38,24,10,6,5,16,120,1610612749,2017,-106.00
0041700112,0,L,0,2,0,240,46,77,0.597,7,17,0.412,7,17,0,7,31,38,19,3,4,15,19,106,1610612738,2017,-104.00
0041700102,0,L,0,2,0,240,42,86,0.488,10,22,0.455,25,28,1,4,30,34,26,7,3,8,24,119,1610612761,2017,258.00
0041700102,1,W,2,0,1,240,45,87,0.517,13,35,0.371,27,33,1,9,39,48,24,5,8,14,27,130,1610612764,2017,-292.00
0041700152,1,W,2,0,1,240,41,78,0.526,15,31,0.484,19,20,1,6,33,39,32,5,5,15,24,116,1610612759,2017,-561.00
0041700152,0,L,0,2,0,240,35,85,0.412,4,28,0.143,27,30,1,9,26,35,16,10,2,9,21,101,1610612744,2017,469.00
0041700122,1,L,1,1,0.5,240,40,96,0.417,7,36,0.194,16,22,1,17,32,49,22,7,5,14,26,103,1610612748,2017,-280.00
0041700122,0,W,1,1,0.5,240,40,82,0.488,9,25,0.36,24,30,1,11,35,46,23,8,7,15,27,113,1610612755,2017,248.00
0041700171,0,L,0,1,0,240,41,87,0.471,11,28,0.393,15,20,1,9,33,42,18,10,7,14,21,108,1610612760,2017,161.00
0041700171,1,W,1,0,1,240,41,85,0.482,14,29,0.483,20,23,1,9,37,46,16,8,5,17,19,116,1610612762,2017,-179.00
0041700141,0,L,0,1,0,240,35,80,0.438,8,23,0.348,23,28,1,11,36,47,22,3,2,13,19,101,1610612745,2017,744.00
0041700141,1,W,1,0,1,240,39,83,0.47,10,37,0.27,16,23,1,8,29,37,15,8,8,11,19,104,1610612750,2017,-962.00
0041700131,1,L,0,1,0,240,30,78,0.385,8,34,0.235,12,20,1,9,37,46,21,7,4,16,23,80,1610612754,2017,-370.00
0041700131,0,W,1,0,1,240,36,79,0.456,11,28,0.393,15,25,1,8,36,44,19,12,4,11,21,98,1610612739,2017,322.00
0041700111,1,W,1,0,1,265,39,94,0.415,11,26,0.423,24,27,1,11,34,45,20,8,5,15,21,113,1610612749,2017,-169.00
0041700111,0,L,0,1,0,265,40,83,0.482,8,21,0.381,19,24,1,5,37,42,22,8,8,20,31,107,1610612738,2017,152.00
0041700161,1,L,0,1,0,240,37,98,0.378,12,39,0.308,9,12,1,15,37,52,17,10,6,12,15,95,1610612740,2017,-227.00
0041700161,0,W,1,0,1,240,41,86,0.477,8,24,0.333,7,10,1,7,42,49,26,8,12,14,17,97,1610612757,2017,203.00
0041700151,1,W,1,0,1,240,44,81,0.543,10,22,0.455,15,22,1,10,41,51,32,6,6,15,18,113,1610612759,2017,-380.00
0041700151,0,L,0,1,0,240,32,80,0.4,9,22,0.409,19,24,1,3,27,30,19,9,4,12,20,92,1610612744,2017,330.00
0041700121,1,W,1,0,1,240,45,95,0.474,18,28,0.643,22,29,1,17,33,50,34,9,4,10,23,130,1610612748,2017,-233.00
0041700121,0,L,0,1,0,240,35,77,0.455,12,26,0.462,21,31,1,9,32,41,25,4,6,16,25,103,1610612755,2017,208.00
